Title,38.9246947,-94.7585427,"14711 W 112th St, Lenexa, KS 66215, USA",Match,Google,Source
Trinity College,41.7470941,-72.6905036,"300 Summit St, Hartford, CT 06106, USA",Match,Google,
Capital Community College,41.7681484,-72.672398,"950 Main St, Hartford, CT 06103, USA",Match,Google,
University of Hartford,41.7986012,-72.7138051,"200 Bloomfield Ave, West Hartford, CT 06117, USA",Match,Google,
Hartford Seminary,41.7698571,-72.7077092,"77 Sherman St, Hartford, CT 06105, USA",Match,Google,
St. Thomas Seminary,41.8067662,-72.7337059,"Bloomfield, CT 06002, USA",Match,Google,
University of Connecticut-Hartford,41.7799342,-72.7405334,"1800 Asylum Ave, West Hartford, CT 06117, USA",Match,Google,
Central Connecticut State University,41.693255,-72.764167,"1615 Stanley Street, New Britain, CT 06053, USA",Match,Google,
Goodwin College,41.7428246,-72.6404704,"1 Riverside Dr, East Hartford, CT 06118, USA",Match,Google,
Manchester Community College,41.7606485,-72.5619284,"60 Bidwell St, Manchester, CT 06040, USA",Match,Google,
University of St. Joseph,41.7822232,-72.7305455,"1678 Asylum Ave, West Hartford, CT 06117, USA",Match,Google,
